id	book	page	q_no	substr_pct	band	action	image_url	ocr_text_len
a6bedf0d-c3c2-5beb-b6f0-091f004e22ad	CAP-2023-2024-AYT-Matematik Soru Bankası	289	6	0.778	high	dry	/static/crops/CAP-2023-2024-AYT-Matematik_Soru_Bankası/CAP-2023-2024-AYT-Matematik_Soru_Bankası_p0289_q04.png	168
38a5b945-79c4-51ba-a184-ead70de81faa	Orijinal-2024-Ayt-Trigonometri	25	10	0.882	high	dry	/static/crops/Orijinal-2024-Ayt-Trigonometri/Orijinal-2024-Ayt-Trigonometri_p0025_q02.png	147
a97f2615-30fa-5713-abea-7eda90385904	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	96	9	0.833	high	dry	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0096_q06.png	100
7f84289e-c7e0-547e-b6e5-037e9ee6574d	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	75	10	0.625	mid	dry	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0075_q05.png	160
a0f19a90-513f-5ed4-89c2-ef9d49be8d89	Orijinal-Tyt Ayt Geometri Soru Bankası	210	12	0.900	high	dry	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0210_q06.png	101
d088a335-82f4-59d5-94df-aeb3895b2ec3	345 2025 Tyt Ayt Geometri Soru Bankası 1	107	6	1.000	high	dry	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0107_q04.png	111
5bffce3f-98a5-5659-bb87-7efc95ae712d	Orijinal-2024-Geometri Soru Bankası	269	10	0.571	mid	dry	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0269_q01.png	147
c7b36f67-481a-5e1e-be70-14fec655cf7c	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	214	7	0.600	mid	dry	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0214_q01.png	112
41c50ff9-33ae-5a82-9105-f43a0dd818e7	345 Tyt Ayt Geometri Soru Bankası	325	9	1.000	high	dry	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0325_q02.png	95
417b1cbb-84da-5de6-9865-7327de604eac	2023-2024 ACİL- AYT Matematik Soru Bankası	148	5	0.750	high	dry	/static/crops/2023-2024_ACİL-_AYT_Matematik_Soru_Bankası/2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0148_q02.png	96
64100c8e-bac2-5b64-ba76-e2bb1d1c08dd	Full Matematik-2019-2020-Geometri Soru Bankası	73	9	0.909	high	dry	/static/crops/Full_Matematik-2019-2020-Geometri_Soru_Bankası/Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0073_q05.png	103
