id	url	book	page	qno
0b2546e0-14ff-5691-90c5-b842a3feeace	/static/crops/345_2024_Tyt_Matematik_Soru_Bankası/345_2024_Tyt_Matematik_Soru_Bankası_p0388_q02.png	345 2024 Tyt Matematik Soru Bankası	388	2
aaaeea43-ddfd-5c09-a6ac-0c79f17fc377	/static/crops/345_2024_Tyt_Matematik_Soru_Bankası/345_2024_Tyt_Matematik_Soru_Bankası_p0388_q01.png	345 2024 Tyt Matematik Soru Bankası	388	1
858e32f6-da67-5e47-929c-f07eaf6a99de	/static/crops/345_2024_Tyt_Matematik_Soru_Bankası/345_2024_Tyt_Matematik_Soru_Bankası_p0390_q02.png	345 2024 Tyt Matematik Soru Bankası	390	2
681ac45c-7d8e-55c2-8799-5ebd74e3395a	/static/crops/345_2025_Ayt_Matematik_Soru_Bankası/345_2025_Ayt_Matematik_Soru_Bankası_p0244_q03.png	345 2025 Ayt Matematik Soru Bankası	244	3
57dcb69d-6e6b-5bf7-afef-afcb4d233f3d	/static/crops/ACİL-2025-Matematiğin_İlacı_Sayılar-2/ACİL-2025-Matematiğin_İlacı_Sayılar-2_p0089_q01.png	ACİL-2025-Matematiğin İlacı Sayılar-2	89	1
231088db-1151-59f8-87d7-3830cbdc1253	/static/crops/ACİL-2025-TYT-Soeu_Bankası/ACİL-2025-TYT-Soeu_Bankası_p0138_q02.png	ACİL-2025-TYT-Soeu Bankası	138	2
efdb6aa2-d4e6-54c6-8c92-c0b6694600fe	/static/crops/ACİL-2025-TYT-Soeu_Bankası/ACİL-2025-TYT-Soeu_Bankası_p0081_q02.png	ACİL-2025-TYT-Soeu Bankası	81	2
f6f6d3b3-d7d5-5574-906d-e8c850ea1261	/static/crops/ACİL-2025-TYT-Soeu_Bankası/ACİL-2025-TYT-Soeu_Bankası_p0157_q04.png	ACİL-2025-TYT-Soeu Bankası	157	4
5a0d3042-a0aa-5bc7-8c8a-380b3d051f58	/static/crops/ACİL-2025-TYT-Soeu_Bankası/ACİL-2025-TYT-Soeu_Bankası_p0157_q02.png	ACİL-2025-TYT-Soeu Bankası	157	2
40d0210d-62e9-5a46-b265-4a6defbd90da	/static/crops/ACİL-2025-TYT-Soeu_Bankası/ACİL-2025-TYT-Soeu_Bankası_p0082_q02.png	ACİL-2025-TYT-Soeu Bankası	82	2
e9a5ce2f-c4ee-556f-b087-d1c8a96d5675	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt-Matematik_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt-Matematik_Soru_Bankası_p0282_q02.png	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	282	2
2c982d23-4e25-5d68-832b-4f88702e306e	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt-Matematik_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt-Matematik_Soru_Bankası_p0176_q03.png	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	176	3
4953ea9b-6f95-5da9-82fe-c1037aef3af3	/static/crops/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0050_q02.png	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	50	2
00d9b6c2-4f27-5f8e-b529-f90f116215f6	/static/crops/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0050_q04.png	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	50	4
93c071f7-8840-50ef-9ff4-dc4f1eaedabe	/static/crops/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0139_q05.png	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	139	5
862e7d0d-d0ff-503d-ab11-5dadf43e8702	/static/crops/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0139_q01.png	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	139	1
