Package                                  Version      Latest    Type
---------------------------------------- ------------ --------- -----
aiohappyeyeballs                         2.6.1        2.6.2     wheel
aiohttp                                  3.13.3       3.13.5    wheel
alembic                                  1.17.2       1.18.4    wheel
anthropic                                0.75.0       0.103.1   wheel
antlr4-python3-runtime                   4.11.0       4.13.2    wheel
anyio                                    4.12.0       4.13.0    wheel
asgiref                                  3.11.0       3.11.1    wheel
attrs                                    25.4.0       26.1.0    wheel
bcrypt                                   4.0.1        5.0.0     wheel
build                                    1.4.0        1.5.0     wheel
cachetools                               6.2.5        7.1.3     wheel
celery                                   5.6.2        5.6.3     wheel
certifi                                  2026.1.4     2026.5.20 wheel
charset-normalizer                       3.4.4        3.4.7     wheel
chromadb                                 1.4.1        1.5.9     wheel
click                                    8.1.8        8.4.0     wheel
coverage                                 7.13.1       7.14.0    wheel
cryptography                             46.0.3       48.0.0    wheel
docstring_parser                         0.17.0       0.18.0    wheel
ecdsa                                    0.19.1       0.19.2    wheel
elastic-transport                        9.2.1        9.4.0     wheel
elasticsearch                            9.2.1        9.4.0     wheel
fastapi                                  0.128.0      0.136.1   wheel
fastapi-limiter                          0.1.6        0.2.0     wheel
fastmcp                                  0.2.0        3.3.1     wheel
filelock                                 3.20.0       3.29.0    wheel
fonttools                                4.61.1       4.63.0    wheel
fsspec                                   2025.12.0    2026.4.0  wheel
gevent                                   25.9.1       26.5.0    wheel
google-ai-generativelanguage             0.6.15       0.11.0    wheel
google-api-core                          2.29.0       2.30.3    wheel
google-api-python-client                 2.187.0      2.196.0   wheel
google-auth                              2.52.0       2.53.0    wheel
google-auth-httplib2                     0.3.0        0.4.0     wheel
google-genai                             2.0.0        2.5.0     wheel
googleapis-common-protos                 1.72.0       1.75.0    wheel
graphql-core                             3.2.7        3.2.8     wheel
greenlet                                 3.3.0        3.5.1     wheel
grpcio                                   1.76.0       1.80.0    wheel
grpcio-status                            1.62.3       1.80.0    wheel
hijridate                                2.3.0        2.6.0     wheel
httplib2                                 0.31.0       0.31.2    wheel
huggingface-hub                          0.36.0       1.16.0    wheel
hypothesis                               6.150.2      6.152.9   wheel
hypothesis-graphql                       0.11.1       0.12.0    wheel
idna                                     3.11         3.15      wheel
importlib_metadata                       8.7.1        9.0.0     wheel
importlib_resources                      6.5.2        7.1.0     wheel
jiter                                    0.12.0       0.15.0    wheel
jsonpointer                              3.0.0        3.1.1     wheel
kiwisolver                               1.4.9        1.5.0     wheel
kubernetes                               35.0.0       36.0.0    wheel
langchain-classic                        1.0.1        1.0.7     wheel
langchain-core                           1.2.7        1.4.0     wheel
langchain-ollama                         1.0.1        1.1.0     wheel
langchain-text-splitters                 1.1.0        1.1.2     wheel
langgraph                                1.0.5        1.2.0     wheel
langgraph-checkpoint                     3.0.1        4.1.0     wheel
langgraph-prebuilt                       1.0.5        1.1.0     wheel
langgraph-sdk                            0.3.2        0.3.14    wheel
langsmith                                0.6.2        0.8.5     wheel
librt                                    0.7.8        0.11.0    wheel
limits                                   5.6.0        5.8.0     wheel
Mako                                     1.3.10       1.3.12    wheel
mando                                    0.7.1        0.8.2     wheel
markdown-it-py                           4.0.0        4.2.0     wheel
MarkupSafe                               2.1.5        3.0.3     wheel
marshmallow                              3.26.2       4.3.0     wheel
matplotlib                               3.10.8       3.10.9    wheel
mcp                                      1.25.0       1.27.1    wheel
mmh3                                     5.2.0        5.2.1     wheel
mpmath                                   1.3.0        1.4.1     wheel
multidict                                6.7.0        6.7.1     wheel
mypy                                     1.19.1       2.1.0     wheel
numpy                                    2.2.6        2.4.6     wheel
ollama                                   0.6.1        0.6.2     wheel
onnxruntime                              1.23.2       1.26.0    wheel
openai                                   2.14.0       2.37.0    wheel
opencv-python                            4.12.0.88    4.13.0.92 wheel
opentelemetry-api                        1.39.1       1.42.0    wheel
opentelemetry-exporter-otlp-proto-common 1.39.1       1.42.0    wheel
opentelemetry-exporter-otlp-proto-grpc   1.39.1       1.42.0    wheel
opentelemetry-proto                      1.39.1       1.42.0    wheel
opentelemetry-sdk                        1.39.1       1.42.0    wheel
orjson                                   3.11.5       3.11.9    wheel
ormsgpack                                1.12.1       1.12.2    wheel
pathspec                                 1.0.3        1.1.1     wheel
pdfminer.six                             20251230     20260107  wheel
pillow                                   12.0.0       12.2.0    wheel
