durum	sinif	yol	kanit
D	AD_COZULUYOR	backend/models.py	'models' adini baska canli dosya/paket sagliyor
D	AD_COZULUYOR	integrations/ebatv_service.py	'integrations.ebatv_service' adini baska canli dosya/paket sagliyor
D	AD_COZULUYOR	tests/conftest.py	'tests.conftest' adini baska canli dosya/paket sagliyor
D	KIRIK_IMPORT	backend/optimal_hybrid_system.py	1 canli import 'optimal_hybrid_system' adini istiyor, canli saglayici YOK; ilk: .archive/root_cleanup_20260402/test_optimal_hybrid.py
D	KIRIK_IMPORT	orchestrator/config.py	2 canli import 'orchestrator.config' adini istiyor, canli saglayici YOK; ilk: orchestrator/core/memory.py
D	KIRIK_IMPORT	orchestrator/master_orchestrator.py	3 canli import 'master_orchestrator' adini istiyor, canli saglayici YOK; ilk: .archive/root_cleanup_20260402/demo_orchestrator.py
M	KOZMETIK	.archive/root_cleanup_20260402/extract_questions.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	.archive/root_cleanup_20260402/gemini_chat.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	.claude/orchestration/mcp_orchestrator.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	ai_ml/adaptive_learning_algorithms.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/app/core/async_utils.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/app/core/file_utils.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/app/core/http_client.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/app/health/checker.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/app/health/discovery.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/app/health/models.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/app/health/sla_monitor.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/core/irt_daemon.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/core/resilience.py	AST birebir ayni (docstring-normalize)
M	KOZMETIK	backend/data/soru_bankasi_generator.py	AST birebir ayni (docstring-normalize)
M	PARSE_HATASI	.archive/root_cleanup_20260402/create_csv.py	HEAD=FAIL disk=FAIL
M	PARSE_HATASI	.archive/root_cleanup_20260402/gemini_cli.py	HEAD=FAIL disk=FAIL
M	PARSE_HATASI	ai_ml/turkish_nlp_system.py	HEAD=FAIL disk=FAIL
M	PARSE_HATASI	ai_ml/yks_score_prediction_models.py	HEAD=FAIL disk=FAIL
D	REFERANSSIZ	backend/_check_imports.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/_final_report.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/_run_coverage.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/accurate_count.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/activate_users.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/add_2fa_columns_manual.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/add_premium_fields.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/analyze_cov.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/analyze_coverage.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/analyze_coverage_week6.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/analyze_json_answers.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/analyze_test_coverage.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/api_integration_test_strategy.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/bertscore_demo.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/boost_critical_tests.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/cleanup_test_column.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/comprehensive_auth_test.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/count_questions.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/count_tests.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/debug_stub.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/demo_geometry_generation.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/demo_graph_generation.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/demo_map_diagram_generation.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/demo_production_monitoring.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/demo_question_generation.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/demo_table_generation.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/detect_n_plus_1.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/evaluate_existing_questions_wave2b.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/evaluate_geometry_questions_wave2b.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/evaluate_graph_questions_wave2b.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/evaluate_table_questions_wave2b.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/export_openapi_schema.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/fast_youtube_endpoint.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/final_copy.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/fix_syntax_errors.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/fix_test_api_batch2.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/fix_test_api_batch2_comprehensive.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/fix_test_api_batch2_final.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/fix_test_api_batch2_remaining.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/full_database_evaluation_wave2b.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/generate_5_table_questions.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/generate_production_milestones.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/generate_questions_simple.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/generate_with_wave2b_quality.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/improved_hybrid_system.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/init_db.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/inject_mock_data.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/install_verify_langchain.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/monitor.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/platform_health_check.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/restart_with_caching.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_coverage.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_coverage_analysis.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_final_tests.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_migration_010.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_migration_012.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_migration_014.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_services_demo.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_tests_subprocess.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/run_zpd_tests.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/scripts/migrate_to_uuid.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/seed_admin.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/setup_zemberek.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/start_hybrid_system.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/start_services_and_generate.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/tasks/social_tasks.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/test_login_manual.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/tools/response_format_checker.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/turkish_nlp_coverage_config.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/utils/zemberek_integration.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/validate_cors_config.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/validate_production_env.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/verify_admin.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/verify_capture_fix.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	backend/video_validator.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	docs/quality-gates/create_session_summary.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	frontend/refactor_app.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	insert_345_osym_tadinda_01_sozcukte_anlam.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	insert_345_osym_tadinda_02_sozcukte_anlam.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	insert_345_test03_sozcukte_anlam.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	insert_345_test04_sozcukte_anlam.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	integrations/communication_services_integration.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	integrations/meb_api_integration.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	integrations/payment_gateway_integration.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	integrations/unified_integration_framework.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	integrations/university_systems_integration.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	mobile/mobile_specific_features.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	mobile/offline_data_sync.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	mobile/push_notification_system.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	mobile/responsive_ui_framework.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	mobile/unified_mobile_architecture.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	orchestrator/algorithms.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	orchestrator/claude_code_manager.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	orchestrator/examples/basic_usage.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	performance/advanced_caching_cdn_management.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	performance/database_performance_optimization.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	performance/exam_traffic_surge_handler.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	performance/memory_resource_optimization.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	performance/unified_load_balancing_autoscaling.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/check_qbank.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/env-validator.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/index_to_es.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/backend_core_duplicates_analysis.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/backend_core_refactoring_analysis.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/dashboard_status.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/database_analysis.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/emergency_load_sqlite.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/emergency_seed_questions.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/load_emergency_content.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/load_emergency_content_windows.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/permanent_test_fix.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/setup_environment.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/legacy/setup_python_environment.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/list_backend_endpoints.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/setup-branch-protection.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/setup-quality-tools.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/test_es_direct.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/test_hc.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/test_monitoring.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/validate_api_links.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/validate_database_integrity.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/validate_database_models.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/validate_documentation_links.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/validate_external_services.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/validate_frontend_routing.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	scripts/validate_static_assets.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	tests/test_database_connection.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	tests/test_langchain_study_buddy.py	canli import yok, ayni adli dosya yok
D	REFERANSSIZ	tests/test_production_ready_agent.py	canli import yok, ayni adli dosya yok
D	TASINMIS_OLABILIR	backend/code_quality.py	ayni adli canli dosya: backend/core/quality_gates/gates/code_quality.py
D	TASINMIS_OLABILIR	backend/quality.py	ayni adli canli dosya: backend/services/youtube/quality.py
D	TASINMIS_OLABILIR	backend/run_migration_013.py	ayni adli canli dosya: .archive/root_cleanup_20260402/run_migration_013.py
D	TASINMIS_OLABILIR	backend/run_tests.py	ayni adli canli dosya: backend/scripts/run_tests.py
D	TASINMIS_OLABILIR	orchestrator/test_complete_system.py	ayni adli canli dosya: .archive/root_cleanup_20260402/test_complete_system.py
D	TASINMIS_OLABILIR	orchestrator/tests/test_complete_system.py	ayni adli canli dosya: .archive/root_cleanup_20260402/test_complete_system.py
D	TASINMIS_OLABILIR	tests/test_database_models.py	ayni adli canli dosya: backend/tests/unit/test_database_models.py
D	UCUNCU_TARAF	backend/websocket.py	ad depo disindan cozuluyor: websocket <- C:\Users\husey\AppData\Local\Programs\Python\Python313\Lib\site-packages\websocket\__init__.py
M	YAPISAL	.archive/root_cleanup_20260402/analyze_question_bank.py	AST farkli; satir 426->426
M	YAPISAL	.archive/root_cleanup_20260402/check_and_import.py	AST farkli; satir 259->259
M	YAPISAL	.archive/root_cleanup_20260402/check_content_status.py	AST farkli; satir 203->203
M	YAPISAL	.archive/root_cleanup_20260402/check_schema.py	AST farkli; satir 48->48
M	YAPISAL	.archive/root_cleanup_20260402/fix_schema.py	AST farkli; satir 91->91
M	YAPISAL	.archive/root_cleanup_20260402/fix_test_coverage_comprehensive.py	AST farkli; satir 896->896
M	YAPISAL	.archive/root_cleanup_20260402/run_yolo_all_books.py	AST farkli; satir 340->340
M	YAPISAL	.archive/root_cleanup_20260402/setup_orchestrator.py	AST farkli; satir 505->505
M	YAPISAL	.archive/root_cleanup_20260402/verify_schema.py	AST farkli; satir 47->47
M	YAPISAL	backend/_scripts/copy_sorular_to_questions_v2.py	AST farkli; satir 112->113
M	YAPISAL	backend/_scripts/copy_with_ids.py	AST farkli; satir 47->87
M	YAPISAL	backend/_scripts/create_service_tests.py	AST farkli; satir 396->396
M	YAPISAL	backend/_scripts/fix_test_coverage_comprehensive.py	AST farkli; satir 552->552
M	YAPISAL	backend/_scripts/improve_test_coverage.py	AST farkli; satir 872->868
M	YAPISAL	backend/_scripts/quick_test_fix.py	AST farkli; satir 154->151
M	YAPISAL	backend/_scripts/test_algorithm_comprehensive_coverage.py	AST farkli; satir 1037->1035
M	YAPISAL	backend/_scripts/test_async_api_integration.py	AST farkli; satir 147->152
M	YAPISAL	backend/_scripts/test_coverage_master_fix.py	AST farkli; satir 345->347
M	YAPISAL	backend/_scripts/test_custom_hf_endpoint.py	AST farkli; satir 258->257
M	YAPISAL	backend/_scripts/test_database_operations_real_data.py	AST farkli; satir 962->960
M	YAPISAL	backend/_scripts/test_langchain_integration.py	AST farkli; satir 529->529
M	YAPISAL	backend/_scripts/test_ocr_integration.py	AST farkli; satir 191->207
M	YAPISAL	backend/agents/_archive/accessibility_agent.py	AST farkli; satir 806->806
M	YAPISAL	backend/agents/_archive/enhanced_study_buddy_agent.py	AST farkli; satir 550->550
M	YAPISAL	backend/agents/_archive/langchain_study_buddy.py	AST farkli; satir 666->670
M	YAPISAL	backend/agents/_archive/study_buddy_agent.py	AST farkli; satir 994->990
M	YAPISAL	backend/agents/learning_path/services/path_generation.py	AST farkli; satir 553->585
M	YAPISAL	backend/agents/learning_path_agent.py	AST farkli; satir 3807->3817
M	YAPISAL	backend/alembic/env.py	AST farkli; satir 166->169
M	YAPISAL	backend/api/admin.py	AST farkli; satir 623->673
M	YAPISAL	backend/api/curator.py	AST farkli; satir 712->712
M	YAPISAL	backend/api/duel_api.py	AST farkli; satir 710->722
M	YAPISAL	backend/api/hybrid_question_generation.py	AST farkli; satir 536->558
M	YAPISAL	backend/api/learning_path_v2.py	AST farkli; satir 1493->1499
M	YAPISAL	backend/api/oba_seferleri_api.py	AST farkli; satir 265->267
M	YAPISAL	backend/api/osym_questions_api.py	AST farkli; satir 438->456
M	YAPISAL	backend/api/osym_routes.py	AST farkli; satir 285->400
M	YAPISAL	backend/api/soru_bankasi.py	AST farkli; satir 1038->1040
M	YAPISAL	backend/api/student_dashboard.py	AST farkli; satir 545->570
M	YAPISAL	backend/api/usta_cirak_api.py	AST farkli; satir 348->406
M	YAPISAL	backend/api/video_solution.py	AST farkli; satir 1142->1148
M	YAPISAL	backend/api/yolo_detection_api.py	AST farkli; satir 465->574
M	YAPISAL	backend/application/commands/auth.py	AST farkli; satir 387->404
M	YAPISAL	backend/application/commands/learning_path.py	AST farkli; satir 1119->1146
M	YAPISAL	backend/conftest.py	AST farkli; satir 640->651
M	YAPISAL	backend/core/auth_dependencies.py	AST farkli; satir 504->506
M	YAPISAL	backend/core/chat_interface.py	AST farkli; satir 738->738
M	YAPISAL	backend/core/cors_security.py	AST farkli; satir 250->251
M	YAPISAL	backend/core/database_optimizer.py	AST farkli; satir 750->750
M	YAPISAL	backend/core/dynamic_content_generator.py	AST farkli; satir 688->688
M	YAPISAL	backend/core/gamification/points_manager.py	AST farkli; satir 301->308
M	YAPISAL	backend/core/kvkk_compliance.py	AST farkli; satir 1213->1215
M	YAPISAL	backend/core/learning_analytics.py	AST farkli; satir 772->772
M	YAPISAL	backend/core/learning_path_auth.py	AST farkli; satir 326->326
M	YAPISAL	backend/core/migration_framework.py	AST farkli; satir 986->986
M	YAPISAL	backend/core/osym_exam_engine.py	AST farkli; satir 2028->2057
M	YAPISAL	backend/core/performance_monitor.py	AST farkli; satir 509->509
M	YAPISAL	backend/core/router_registry.py	AST farkli; satir 414->417
M	YAPISAL	backend/core/security_event_monitoring.py	AST farkli; satir 1095->1095
M	YAPISAL	backend/core/turkish_nlp_chat_system.py	AST farkli; satir 1327->1327
M	YAPISAL	backend/core/unified/database_system.py	AST farkli; satir 623->623
M	YAPISAL	backend/core/xss_prevention.py	AST farkli; satir 343->344
M	YAPISAL	backend/database/connection.py	AST farkli; satir 298->298
M	YAPISAL	backend/database/video_cache_repository.py	AST farkli; satir 617->617
M	YAPISAL	backend/mcp_servers/gemini_mcp.py	AST farkli; satir 291->274
M	YAPISAL	backend/models/__init__.py	AST farkli; satir 402->411
M	YAPISAL	backend/models/base.py	AST farkli; satir 49->56
M	YAPISAL	backend/models/billing.py	AST farkli; satir 191->191
M	YAPISAL	backend/models/cat_models.py	AST farkli; satir 169->169
M	YAPISAL	backend/models/database.py	AST farkli; satir 195->212
M	YAPISAL	backend/models/department_info.py	AST farkli; satir 399->399
M	YAPISAL	backend/models/dungeon_models.py	AST farkli; satir 42->42
M	YAPISAL	backend/models/eba_video.py	AST farkli; satir 105->105
M	YAPISAL	backend/models/enums_db.py	AST farkli; satir 144->150
M	YAPISAL	backend/models/exam_db.py	AST farkli; satir 205->205
M	YAPISAL	backend/models/ferpa_coppa_models.py	AST farkli; satir 229->233
M	YAPISAL	backend/models/gamification.py	AST farkli; satir 433->433
M	YAPISAL	backend/models/gamification_db.py	AST farkli; satir 149->149
M	YAPISAL	backend/models/khan_content.py	AST farkli; satir 224->229
M	YAPISAL	backend/models/kvkk_models.py	AST farkli; satir 438->438
M	YAPISAL	backend/models/learning_path_models.py	AST farkli; satir 614->615
M	YAPISAL	backend/models/live_session.py	AST farkli; satir 678->678
M	YAPISAL	backend/models/notification.py	AST farkli; satir 70->70
M	YAPISAL	backend/models/oba_seferleri.py	AST farkli; satir 100->105
M	YAPISAL	backend/models/osb_settings.py	AST farkli; satir 92->92
M	YAPISAL	backend/models/osym_question.py	AST farkli; satir 253->253
M	YAPISAL	backend/models/point_transaction.py	AST farkli; satir 51->51
M	YAPISAL	backend/models/question_bank.py	AST farkli; satir 777->321
M	YAPISAL	backend/models/streak_tracking.py	AST farkli; satir 120->120
M	YAPISAL	backend/models/student_goal.py	AST farkli; satir 82->82
M	YAPISAL	backend/models/student_learning_profile.py	AST farkli; satir 184->184
M	YAPISAL	backend/models/study_room.py	AST farkli; satir 598->598
M	YAPISAL	backend/models/system_models.py	AST farkli; satir 291->291
M	YAPISAL	backend/models/teacher_pool.py	AST farkli; satir 627->627
M	YAPISAL	backend/models/university.py	AST farkli; satir 400->400
M	YAPISAL	backend/models/user_achievement.py	AST farkli; satir 159->159
M	YAPISAL	backend/models/user_models.py	AST farkli; satir 373->374
M	YAPISAL	backend/models/video_analytics.py	AST farkli; satir 267->267
M	YAPISAL	backend/plugins/math_genius/agent.py	AST farkli; satir 285->293
M	YAPISAL	backend/repositories/session_repository.py	AST farkli; satir 171->173
M	YAPISAL	backend/routers/loader.py	AST farkli; satir 319->327
M	YAPISAL	backend/scripts/_brutal_db_inspector.py	AST farkli; satir 81->83
M	YAPISAL	backend/scripts/automated_coverage_reporter.py	AST farkli; satir 766->771
M	YAPISAL	backend/scripts/brutal_db_core_patch.py	AST farkli; satir 124->138
M	YAPISAL	backend/scripts/brutal_db_patch.py	AST farkli; satir 120->134
M	YAPISAL	backend/scripts/coverage_dashboard.py	AST farkli; satir 686->686
M	YAPISAL	backend/scripts/db_quality_cleansing.py	AST farkli; satir 290->363
M	YAPISAL	backend/scripts/maintenance_vacuum_full.py	AST farkli; satir 59->65
M	YAPISAL	backend/scripts/populate_question_bank.py	AST farkli; satir 441->447
M	YAPISAL	backend/services/production_quality_monitor.py	AST farkli; satir 450->459
??	YENI_BAGLI	backend/algorithms/isomorphic_generator.py	2 import, ilk: backend/api/v1/mistakes.py
??	YENI_BAGLI	backend/algorithms/test_assembly.py	2 import, ilk: backend/api/v1/exams.py
??	YENI_BAGLI	backend/core/alembic_utils.py	1 import, ilk: backend/alembic/versions_archive/20260517_student_question_flags.py
??	YENI_BAGLI	backend/models/osym_trends.py	2 import, ilk: backend/models/__init__.py
??	YENI_BAGLI	backend/services/empirical_irt_calibrator.py	2 import, ilk: backend/scripts/quality/calibrate_question_bank_irt.py
??	YENI_BAGLI	backend/services/irt_equating_service.py	2 import, ilk: backend/api/osym_routes.py
??	YENI_BAGLI	backend/services/leaderboard_service.py	1 import, ilk: backend/api/v1/exams.py
??	YENI_BAGLI	backend/services/osym_pdf_pipeline.py	2 import, ilk: backend/api/osym_routes.py
??	YENI_BAGLI	backend/services/profile_sync_service.py	1 import, ilk: backend/tests/integration/test_db_profile_sync.py
??	YENI_BAGLI	backend/services/turkish_readability_service.py	2 import, ilk: backend/services/osym_pdf_pipeline.py
??	YENI_BAGLI	backend/services/yks_jargon_service.py	1 import, ilk: backend/tests/fast/test_yks_jargon_service.py
??	YENI_YETIM	backend/api/v1/exams.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/api/v1/mistakes.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/api/v1/predictive_analytics.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/check.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/check_schema.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/check_tables.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/fix.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/grant.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/models/pedagogy_models.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/add_cascades.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/audit_dirty_tree_py.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/audit_sql_migration_drift.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/check_duplicate_tables.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/clean_exceptions.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/fix_imports.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/generate_qwen_kcs.py	hicbir canli dosya import etmiyor
??	YENI_YETIM	backend/scripts/golden_dataset_stress_tester.py	hicbir canli dosya import etmiyor
