karar	yol	disk	head
DISK_DOGRU	backend/models/billing.py	0 eksik tablo / 0 eksik kolon / 38	0 eksik tablo / 6 eksik kolon / 38
DISK_DOGRU	backend/models/question_bank.py	0 eksik tablo / 0 eksik kolon / 148	0 eksik tablo / 69 eksik kolon / 140
DISK_DOGRU	backend/models/study_room.py	0 eksik tablo / 0 eksik kolon / 168	0 eksik tablo / 7 eksik kolon / 168
DISK_DOGRU	backend/models/system_models.py	0 eksik tablo / 0 eksik kolon / 68	0 eksik tablo / 1 eksik kolon / 68
HEAD_DOGRU	backend/models/oba_seferleri.py	0 eksik tablo / 2 eksik kolon / 25	0 eksik tablo / 0 eksik kolon / 23
ESIT	backend/core/kvkk_compliance.py	3 eksik tablo / 49 eksik kolon / 59	3 eksik tablo / 49 eksik kolon / 59
ESIT	backend/models/cat_models.py	0 eksik tablo / 0 eksik kolon / 36	0 eksik tablo / 0 eksik kolon / 36
ESIT	backend/models/department_info.py	0 eksik tablo / 0 eksik kolon / 100	0 eksik tablo / 0 eksik kolon / 100
ESIT	backend/models/dungeon_models.py	0 eksik tablo / 0 eksik kolon / 9	0 eksik tablo / 0 eksik kolon / 9
ESIT	backend/models/eba_video.py	0 eksik tablo / 0 eksik kolon / 19	0 eksik tablo / 0 eksik kolon / 19
ESIT	backend/models/exam_db.py	0 eksik tablo / 0 eksik kolon / 37	0 eksik tablo / 0 eksik kolon / 37
ESIT	backend/models/ferpa_coppa_models.py	0 eksik tablo / 0 eksik kolon / 75	0 eksik tablo / 0 eksik kolon / 75
ESIT	backend/models/gamification.py	0 eksik tablo / 0 eksik kolon / 125	0 eksik tablo / 0 eksik kolon / 125
ESIT	backend/models/gamification_db.py	0 eksik tablo / 0 eksik kolon / 35	0 eksik tablo / 0 eksik kolon / 35
ESIT	backend/models/khan_content.py	0 eksik tablo / 0 eksik kolon / 60	0 eksik tablo / 0 eksik kolon / 60
ESIT	backend/models/kvkk_models.py	0 eksik tablo / 0 eksik kolon / 62	0 eksik tablo / 0 eksik kolon / 62
ESIT	backend/models/learning_path_models.py	0 eksik tablo / 0 eksik kolon / 135	0 eksik tablo / 0 eksik kolon / 134
ESIT	backend/models/live_session.py	0 eksik tablo / 0 eksik kolon / 189	0 eksik tablo / 0 eksik kolon / 189
ESIT	backend/models/notification.py	0 eksik tablo / 0 eksik kolon / 9	0 eksik tablo / 0 eksik kolon / 9
ESIT	backend/models/osb_settings.py	0 eksik tablo / 0 eksik kolon / 21	0 eksik tablo / 0 eksik kolon / 21
ESIT	backend/models/osym_question.py	0 eksik tablo / 0 eksik kolon / 72	0 eksik tablo / 0 eksik kolon / 72
ESIT	backend/models/point_transaction.py	0 eksik tablo / 0 eksik kolon / 7	0 eksik tablo / 0 eksik kolon / 7
ESIT	backend/models/streak_tracking.py	0 eksik tablo / 0 eksik kolon / 20	0 eksik tablo / 0 eksik kolon / 20
ESIT	backend/models/student_goal.py	0 eksik tablo / 0 eksik kolon / 13	0 eksik tablo / 0 eksik kolon / 13
ESIT	backend/models/student_learning_profile.py	0 eksik tablo / 0 eksik kolon / 20	0 eksik tablo / 0 eksik kolon / 20
ESIT	backend/models/teacher_pool.py	0 eksik tablo / 0 eksik kolon / 173	0 eksik tablo / 0 eksik kolon / 173
ESIT	backend/models/university.py	0 eksik tablo / 0 eksik kolon / 103	0 eksik tablo / 0 eksik kolon / 103
ESIT	backend/models/user_achievement.py	0 eksik tablo / 0 eksik kolon / 18	0 eksik tablo / 0 eksik kolon / 18
ESIT	backend/models/user_models.py	0 eksik tablo / 0 eksik kolon / 67	0 eksik tablo / 0 eksik kolon / 66
ESIT	backend/models/video_analytics.py	0 eksik tablo / 0 eksik kolon / 66	0 eksik tablo / 0 eksik kolon / 66
